name,height,diameter,opened,closed,country,location,number_of_cabins,passengers_per_cabin,seating_capacity,hourly_capacity,ride_duration_minutes,climate_controlled,construction_cost,status,design_manufacturer,type,vip_area,ticket_cost_to_ride,official_website,turns
Shining Flower Wheel,164.04,147.64,1/1/66,NA,Japan,Inagi; Tokyo,32,2,64,349,11,NA,Unknown,Operating,NA,NA,NA,4.97,http://www.fujiq.jp/attraction/shining.html,NA
Colossus,180,165,1/1/84,NA,USA,Six Flags St Louis; Eureka; Missouri,32,10,320,1280,15,No,Unknown,Operating,Carousel Holland B.V.,Fixed,No,Included in Park Admission,http://www.sixflags.com/stLouis/rides/Colossus.aspx,NA
Technostar,279,274,1/1/85,NA,Japan,Tsukuba; Ibaraki,48,8,384,1536,15,Yes,Unknown,Defunct,NA,NA,NA,NA,NA,NA
Texas Star,212,NA,1/1/85,NA,USA,Fair Park; Dallas; Texas,44,6,264,1320,12,NA,$2.2 million USD,Operating,SDC Corp,NA,NA,7,NA,NA
Sky Wheel,289,NA,1/1/90,NA,Taiwan,Janfusun Fancyworld,50,8,400,1600,15,Yes,Unknown,Operating,NA,Fixed,NA,NA,http://www.janfusun.com.tw/,1
Space Eye,328,NA,1/1/90,NA,Japan,Space World; Kitakyushu,NA,NA,NA,NA,NA,NA,Unknown,Operating,NA,Fixed,NA,NA,http://www.spaceworld.co.jp/,NA
Sky Scraper,150,NA,1/1/91,NA,USA,Lagoon Park; Farmington; Utah,36,6,216,648,20,No,$1.5 million USD,Operating,Nauta,Fixed,NA,NA,http://www.lagoonpark.com/,NA
Polaris Tower,236,NA,1/1/93,NA,S Korea,Kumdori Land; Yuseong-gu; Daejon,36,NA,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,NA
Navy Pier Ferris Wheel,150,140,7/1/95,NA,USA,Chicago; Illinois,40,6,240,2057,7,No,$3.2 million USD,Operating,Vekoma,Fixed,NA,6,http://www.navypier.com/things2do/rides_attract/pier_park.html,NA
Moscow-850,240,70,1/1/97,NA,Russia,VVC; Moscow,40,8,320,2742,7,Yes,Unknown,Operating,MIR / Pax Company,Fixed,NA,NA,NA,1
Tempozan Ferris Wheel,369,330,7/12/97,NA,Japan,Osaka; Honshu,60,8,480,1920,15,NA,Unknown,Operating,NA,Fixed,NA,6.97,http://www.senyo.co.jp/tempozan/index.html,NA
HEP Five Wheel,347.77,246.06,1/1/98,NA,Japan,HEP Five building; Osaka; Honshu,52,4,208,832,15,Yes,Unknown,Operating,NA,NA,NA,4.94,http://www.hepfive.jp/,NA
Daikanransha,377,328,1/1/99,NA,Japan,Palette Town; Odaiba,64,6,384,1440,16,NA,Unknown,Operating,NA,Fixed,NA,8.87,http://www.daikanransha.com/,NA
Eurowheel,299.7,NA,1/1/99,NA,Italy,Mirabilandia,NA,NA,NA,NA,11,NA,Unknown,Operating,Pax Ltd / Barbieri,Fixed,NA,NA,http://www.mirabilandia.it/,1
Cosmo Clock 21,369,328,3/18/99,NA,Japan,Minato Mirai 21; Yokohama,60,8,480,1920,15,NA,Unknown,Operating,NA,Fixed,NA,6.93,http://www.senyo.co.jp/cosmo/attraction/001.html,NA
Grande Roue de Paris,328,NA,1/1/00,NA,France,Champ de Mars; Paris,NA,NA,NA,NA,8,No,Unknown,Defunct,Théodore Vienne,Fixed,NA,NA,NA,NA
Roue de Paris,200,NA,1/1/00,NA,France,Place de la Concorde,42,8,336,NA,NA,NA,Unknown,Operating,Ronald Bussink,Transportable,NA,Adults – 12.92; Children – 6.46,http://rouedeparis.com/home.htm,NA
London Eye,443,394,3/9/00,NA,UK,South Bank; Lambeth; London,32,25,800,1600,30,Yes,$113 million USD,Operating,Arup Engineering,Fixed,Yes,28,http://www.londoneye.com/,NA
Diamond and Flower Ferris Wheel,384,364.17,1/1/01,NA,Japan,Kasai Rinkai Park; Tokyo,68,6,408,1440,17,Yes,Unknown,Operating,Senyo,Fixed,NA,6.93,http://www.senyo.co.jp/kasai/,NA
Sky Dream Fukuoka,394,361,1/1/01,NA,Japan,Evergreen Marinoa; Fukuoka,NA,NA,NA,NA,20,Yes,Unknown,Relocated,NA,Fixed,NA,4.97,http://web.archive.org/web/20100126161452/http:/evergreenmarinoa.com/sd/,NA
Mickey's Fun Wheel,160,150,2/8/01,NA,USA,Disney California Adventure Park,24,6,144,960,9,No,Unknown,Operating,Walt Disney Imagineering/Waagner Biro,Eccentric,NA,NA,http://disneyland.disney.go.com/disney-california-adventure/mickeys-fun-wheel/,NA
Harbin Ferris Wheel,361,NA,1/1/03,NA,China,Harbin; Hellonjiang,63,6,378,1134,20,NA,$2.42 million USD,Operating,NA,NA,NA,Adults – 3.26 Children – 1.63,NA,NA
Shanghai Ferris Wheel,354,322,1/1/03,NA,China,Jinjiang Action Park; Shanghai,63,6,378,907,25,NA,$1.2 million USD,Operating,NA,Fixed,NA,2.6,http://www.jjlysh.com/,NA
Zhengzhou Ferris Wheel,394,361,1/1/03,NA,China,Century Amusement Park; Henan,48,8,384,768,30,Yes,Unknown,Operating,NA,Fixed,NA,NA,NA,NA
Amuran,303,199.8,1/1/04,NA,Japan,Kagoshima; Kyushu,36,NA,NA,NA,14.5,Yes,Unknown,Operating,NA,NA,NA,NA,NA,1
Miramar Ferris Wheel,316,233,1/1/04,NA,Taiwan,Miramar Entertainment Park; Taipei,48,6,288,1016,17,Yes,$10 million USD,Operating,Miramar City Development Holdings Ltd.,NA,NA,Weekdays – 5.01 Weekends – 6.68,http://www.miramar.com.tw/,NA
Changsha Ferris Wheel,394,325,10/1/04,NA,China,Changsha; Hunan,48,8,384,1152,20,Yes,Unknown,Operating,NA,Fixed,NA,8.15,http://changshahua.com/entertainment/outdoor-activities/changsha-ferris-wheel/,NA
Eye of the Emirates,197,NA,1/1/05,NA,UAE,Sharjah,42,8,336,3360,6,Yes,$6.8 million USD,Operating,NA,NA,NA,Adults – 8.17; Children – 4.08,http://www.alqasba.ae/eyeofemirates.aspx,NA
Mashhad Ferris Wheel,262,NA,1/1/05,NA,Iran,Mellat Park; Mashhad,NA,NA,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,NA,NA,NA
