calvin,hobbes,difference
short,tall,1.8942778034148593
quarrelsome,warm,1.7658305719838374
captain,first-mate,1.5820340706839562
epic,deep,1.491161982034193
gendered,androgynous,1.408035756627306
resistant,resigned,1.392116373826951
🐐,🦒,1.3851818988464952
pensive,serene,1.376693906044678
'right-brained','left-brained',1.3707804806809647
suspicious,trusting,1.347227478049271
crazy,sane,1.302746643048387
individualist,communal,1.300902713462992
🐷,🐮,1.293751676052561
fearmongering,reassuring,1.253788826349802
receiving,giving,1.2369287880372268
mad,glad,1.2034137856055664
machiavellian,transparent,1.1981799593072102
unfixable,fixable,1.1937058352152692
hard,soft,1.1778865300370676
stingy,generous,1.1674515960230245
direct,roundabout,1.1585441899508333
bad-cook,good-cook,1.1557530354441763
🙃,🥰,1.140053886431803
masochistic,pain-avoidant,1.1299539170506911
goth,flower child,1.1231237884242593
🐀,🐘,1.1193310657596371
lewd,tasteful,1.116469204827831
🧢,🎩,1.1020048974594427
impatient,patient,1.0906280672856707
industrial,domestic,1.089521591222532
anxious,calm,1.087099874080456
poisonous,nurturing,1.0860671863202782
independent,codependent,1.080477917644549
rude,respectful,1.0722110299672627
long-winded,concise,1.072124252559035
Russian,French,1.068690510996329
fighter,lover,1.0662313999392652
psychopath,empath,1.0655132069903241
ludicrous,sensible,1.0630554850177756
air,earth,1.061580210833942
vengeful,forgiving,1.0576719791836071
impulsive,cautious,1.0537002147400836
money-focused,love-focused,1.0515065282892535
entitled,grateful,1.04317672924751
experimental,reliable,1.0324469232428435
foolish,wise,1.022911051212938
outsider,insider,1.0150209308052205
slovenly,stylish,1.00740661349098
interrupting,attentive,0.9951300509269102
stubborn,accommodating,0.9899906015037594
selfish,altruistic,0.9827633784391481
competitive,cooperative,0.9802891731283274
analysis,common sense,0.9711254195204578
off-key,musical,0.9632479704103063
jealous,compersive,0.9519744483159118
stinky,fresh,0.9515450268340544
whippersnapper,sage,0.9228951824699094
moody,stable,0.921470121628768
extreme,moderate,0.9177394052003248
Swedish,Italian,0.9005101782587129
👨‍🚀,🧙,0.8926840490797546
ironic,profound,0.8826581820063117
macho,metrosexual,0.8669348014937329
blacksmith,tailor,0.8668989547038328
chill,chill,0.8409090909090908
rugged,refined,0.8346456692913385
cunning,honorable,0.8333749934906004
ambitious,ambitious,0.8327272727272728
genocidal,not genocidal,0.8251968503937008
rustic,cultured,0.8208634719710669
cruel,kind,0.8151055293912437
hypocritical,equitable,0.8140168022836478
picky,always down,0.8095790205957375
🌟,🌟,0.8088235294117647
frenzied,frenzied,0.8084291187739463
variable,consistent,0.8056547049950071
drop out,drop out,0.805111821086262
loud,loud,0.8019607843137254
moist,moist,0.792147806004619
pack rat,minimalist,0.7919721351869315
judgemental,accepting,0.7811361462213267
skeptical,spiritual,0.754536243897946
ignorant,knowledgeable,0.7442503912363068
efficient,efficient,0.7407952871870397
sweet,sweet,0.7374429223744292
libertarian,socialist,0.7352919189653884
vain,demure,0.7321535571015081
bad boy,white knight,0.7293468504144887
fire,fire,0.7281021897810219
young,young,0.7267657992565056
active,active,0.7264150943396226
biased,biased,0.7215909090909091
autistic,autistic,0.7142857142857143
leisurely,leisurely,0.7126436781609196
demanding,unchallenging,0.7045718432510886
🧗,🧗,0.6982922201138521
nihilist,existentialist,0.6980266623909109
spicy,spicy,0.6920415224913495
insulting,insulting,0.6879432624113475
introspective,introspective,0.6859504132231404
arrogant,arrogant,0.6850393700787402
👟,👟,0.6834381551362684
contrarian,contrarian,0.6833910034602076
sexist,feminist,0.679070929070929
brave,brave,0.6719022687609075
authoritarian,democratic,0.6709298764928039
fast-talking,fast-talking,0.6700680272108843
presidential,folksy,0.6615932082761425
loveable,loveable,0.6607773851590106
barbaric,civilized,0.6603355029031654
crafty,crafty,0.658578856152513
bossy,bossy,0.6527331189710611
assertive,assertive,0.6510903426791278
messy,messy,0.6507462686567164
feisty,feisty,0.6461538461538462
doer,doer,0.6437699680511182
💝,💝,0.6421052631578947
pretentious,unassuming,0.634343210968598
warm,warm,0.6342015855039638
self-destructive,self-improving,0.6205675941886235
disarming,disarming,0.6201550387596899
🤠,🤠,0.6178107606679035
incompetent,competent,0.6082773435714612
flirtatious,flirtatious,0.603921568627451
😈,😈,0.6023255813953489
edgy,edgy,0.601923076923077
opinionated,opinionated,0.601478494623656
opinionated,opinionated,0.601478494623656
oxymoron,oxymoron,0.5961538461538463
treasure,treasure,0.5949367088607596
straight,queer,0.5925499231950845
exaggerating,exaggerating,0.5923566878980892
traitorous,loyal,0.591562902533276
touchy-feely,touchy-feely,0.5914786967418546
suspicious,suspicious,0.5892040256175664
sarcastic,sarcastic,0.5869074492099323
mischievous,mischievous,0.5856353591160222
dominant,dominant,0.5813148788927336
🎃,🎃,0.574370709382151
instinctual,instinctual,0.5727611940298507
cool,cool,0.5631469979296067
armoured,vulnerable,0.5613137082601054
interested,interested,0.5604719764011798
genius,genius,0.5594294770206022
nerd,jock,0.559047619047619
rough,smooth,0.5560296395274682
focused on the present,focused on the present,0.5557809330628803
wholesome,wholesome,0.5553319919517103
chatty,chatty,0.5502092050209205
inspiring,inspiring,0.5481335952848723
cheesy,cheesy,0.5450980392156863
outlaw,outlaw,0.5414746543778801
hipster,hipster,0.5391849529780565
tardy,tardy,0.5356037151702786
🤣,🤣,0.5305555555555554
disreputable,disreputable,0.5290697674418605
deranged,deranged,0.5289473684210526
scandalous,scandalous,0.5282608695652173
good-humored,good-humored,0.5271629778672032
chivalrous,chivalrous,0.5265700483091788
jaded,innocent,0.5255465318533905
utilitarian,decorative,0.5228412318068868
freak,freak,0.5207920792079208
weird,weird,0.519163763066202
oblivious,alert,0.5179656261735922
optimistic,optimistic,0.5178997613365155
whimsical,whimsical,0.5149863760217984
clumsy,coordinated,0.5128677296204806
social,social,0.510934393638171
head@clouds,head@clouds,0.5035128805620609
complicated,simple,0.5030245266234592
disorganized,disorganized,0.5018450184501846
chaste,lustful,0.5004431080867227
rock,rock,0.4940711462450592
attractive,attractive,0.49226006191950467
family-first,family-first,0.49061032863849763
ferocious,pacifist,0.48956237558415566
generalist,generalist,0.48936170212765956
child free,child free,0.4874371859296482
unpolished,eloquent,0.4817582417582418
👻,👻,0.48101265822784817
📈,📈,0.4771653543307086
Roman,Greek,0.47330558553003443
lighthearted,lighthearted,0.4719101123595506
🙋‍♂️,🙋‍♂️,0.4650283553875237
indiscreet,tactful,0.4636606655755592
two-faced,one-faced,0.460523023023023
naive,naive,0.46048109965635736
indie,indie,0.4593639575971732
👨‍🔧,👨‍🔧,0.4575471698113207
enlightened,enlightened,0.44794188861985473
random,random,0.4476987447698744
resolute,resolute,0.44006309148264977
cynical,cynical,0.43630017452006986
soulful,soulful,0.4343891402714932
idealist,idealist,0.425233644859813
punk rock,punk rock,0.4228571428571429
subjective,subjective,0.41980198019801973
mighty,mighty,0.41955835962145116
clean,clean,0.41894353369763204
kinky,kinky,0.4186046511627907
city-slicker,country-bumpkin,0.4163993725416745
anarchist,anarchist,0.40909090909090906
bold,bold,0.4084507042253521
bold,bold,0.4084507042253521
lavish,lavish,0.40841584158415845
rural,rural,0.4066390041493776
metaphorical,metaphorical,0.40485829959514175
rhythmic,rhythmic,0.4042879019908116
radical,radical,0.4
perceptive,perceptive,0.396914446002805
twitchy,twitchy,0.39612676056338025
juvenile,juvenile,0.3944723618090452
demonic,demonic,0.391304347826087
literary,literary,0.3905109489051095
wild,wild,0.3853211009174312
legit,legit,0.3829160530191458
cat person,cat person,0.376940133037694
deep,deep,0.3732251521298175
🤺,🤺,0.368421052631579
theoretical,theoretical,0.367741935483871
backdoor,backdoor,0.3664717348927875
main character,main character,0.3638676844783715
lazy,lazy,0.36363636363636365
decisive,decisive,0.3636363636363636
scruffy,scruffy,0.36334405144694537
beautiful,beautiful,0.3631205673758865
prideful,prideful,0.36118598382749323
involved,involved,0.35694050991501425
dramatic,dramatic,0.35680751173708913
healthy,healthy,0.35426008968609857
deviant,deviant,0.351304347826087
exuberant,exuberant,0.34806629834254144
🐒,🐒,0.3466334164588528
human,animalistic,0.3393420569891158
worldly,innocent,0.3390147393715002
muddy,muddy,0.3375
gossiping,gossiping,0.32773109243697485
flourishing,flourishing,0.32752613240418116
chaotic,chaotic,0.32407407407407407
exhibitionist,exhibitionist,0.32081911262798635
heathen,heathen,0.31924882629107976
frank,frank,0.31170662905500707
fortunate,fortunate,0.30805687203791465
noob,pro,0.30698391532627717
rebellious,rebellious,0.3060869565217391
f***-the-police,f***-the-police,0.3053571428571429
modern,modern,0.30392156862745096
intellectual,intellectual,0.303411131059246
devoted,devoted,0.3031988873435327
astonishing,astonishing,0.30294117647058827
low-tech,low-tech,0.2984749455337691
cannibal,cannibal,0.29820627802690586
artistic,artistic,0.29550827423167847
indulgent,indulgent,0.29253112033195017
loose,loose,0.29166666666666663
blissful,blissful,0.28623188405797106
heroic,heroic,0.2857142857142857
alpha,alpha,0.285451197053407
unprepared,unprepared,0.2842105263157894
hedonist,hedonist,0.2744360902255639
masculine,masculine,0.27378640776699037
romantic,romantic,0.27201257861635214
open-minded,open-minded,0.2697841726618705
night owl,night owl,0.2660377358490566
🐿,🐿,0.2649253731343284
straightforward,straightforward,0.2598187311178247
nonpolitical,nonpolitical,0.25348189415041783
proletariat,proletariat,0.25162689804772237
zany,zany,0.2504743833017078
hunter,hunter,0.2473572938689218
flexible,flexible,0.24653739612188363
egalitarian,egalitarian,0.23770491803278693
emancipated,emancipated,0.2369230769230769
street-smart,street-smart,0.23131672597864766
poor,poor,0.22928176795580113
🤡,🤡,0.22921914357682618
sunny,sunny,0.2272727272727273
persistent,persistent,0.22553699284009548
stoic,stoic,0.22551252847380412
😜,😜,0.2207505518763797
resourceful,resourceful,0.21997300944669362
circular,circular,0.21786492374727673
unambiguous,unambiguous,0.21493624772313297
flimsy,sturdy,0.2144088669950739
thick-skinned,sensitive,0.21208886177621877
unorthodox,unorthodox,0.20970873786407773
conspiracist,conspiracist,0.2077519379844961
self-assured,self-assured,0.20695102685624012
goof-off,goof-off,0.20634920634920628
chortling,chortling,0.2033898305084746
fast,fast,0.20031796502384736
open-book,open-book,0.20000000000000007
funny,funny,0.19964349376114077
summer,summer,0.19274376417233563
transient,transient,0.1899736147757256
fantastical,fantastical,0.18734177215189873
go-getter,go-getter,0.17992177314211213
charming,charming,0.17839922854387658
charming,charming,0.17839922854387658
plays hard,plays hard,0.1778523489932886
driven,driven,0.17691342534504392
🤔,🤔,0.16341030195381884
imaginative,imaginative,0.15857605177993528
interesting,interesting,0.1585185185185185
cosmopolitan,cosmopolitan,0.1540084388185654
western,western,0.15351506456241037
slacker,slacker,0.14798206278026904
aloof,aloof,0.14427860696517414
high IQ,high IQ,0.1416549789621318
🥵,🥵,0.132
narcissistic,narcissistic,0.1298701298701299
ADHD,ADHD,0.12688821752265866
😎,😎,0.1255144032921811
💃,💃,0.12351945854483926
comedic,comedic,0.12244897959183676
adventurous,adventurous,0.1216730038022813
protagonist,protagonist,0.12106918238993714
flamboyant,flamboyant,0.1201814058956916
trolling,trolling,0.12
patriotic,unpatriotic,0.11955428726729175
vintage,vintage,0.11919504643962847
extravagant,extravagant,0.11711711711711709
badass,badass,0.11300309597523217
overspender,overspender,0.11083123425692698
joyful,joyful,0.11078717201166188
orange,orange,0.10648148148148151
open,open,0.10619469026548678
motivated,motivated,0.1047979797979798
thin,thin,0.1042830540037244
spontaneous,spontaneous,0.10245310245310235
spontaneous,spontaneous,0.10245310245310235
boy/girl-next-door,boy/girl-next-door,0.10185185185185186
luddite,luddite,0.09832635983263599
sporty,sporty,0.09742120343839539
extraordinary,extraordinary,0.0956790123456791
underachiever,underachiever,0.09547738693467339
chosen one,chosen one,0.09445585215605745
lenient,lenient,0.09319899244332497
multicolored,multicolored,0.09111617312072895
atheist,atheist,0.09090909090909094
cocky,cocky,0.08946608946608947
expressive,expressive,0.08571428571428563
expressive,expressive,0.08571428571428563
vague,precise,0.07992277992277992
asexual,asexual,0.07984790874524716
intimate,intimate,0.07758620689655171
🚴,🚴,0.07431340872374803
🦄,🦄,0.07211538461538458
abstract,abstract,0.06976744186046502
high standards,high standards,0.06877323420074344
cheery,cheery,0.06609195402298851
curious,curious,0.06569343065693434
queen,queen,0.06440677966101693
melee,melee,0.06079027355623101
quirky,quirky,0.05845511482254695
highbrow,highbrow,0.05821917808219179
😏,😏,0.05343511450381688
forward-thinking,forward-thinking,0.05335968379446643
English,English,0.053283767038413865
blue-collar,blue-collar,0.05032822757111599
confident,confident,0.0490196078431373
😀,😀,0.04888888888888887
relaxed,relaxed,0.048128342245989386
playful,playful,0.04590818363273452
playful,playful,0.04590818363273452
🎨,🎨,0.04197080291970805
emotional,emotional,0.04030874785591776
emotional,emotional,0.04030874785591776
liberal,liberal,0.03958691910499146
🧠,🧠,0.03571428571428571
vibrant,vibrant,0.03520000000000001
happy,happy,0.032835820895522394
avant-garde,avant-garde,0.03116883116883118
arcane,arcane,0.030000000000000027
bright,bright,0.027368421052631597
Coke,Coke,0.026431718061673992
charismatic,charismatic,0.026388888888888906
never cries,never cries,0.026315789473684237
important,important,0.025991792065663488
pure,pure,0.025862068965517238
👩‍🎤,👩‍🎤,0.02448979591836742
gamer,gamer,0.023880597014925287
🥳,🥳,0.0237467018469657
extrovert,extrovert,0.02281368821292773
believable,believable,0.022673031026253065
varied,varied,0.01869158878504673
privileged,privileged,0.018363939899833037
philosophical,philosophical,0.017094017094017144
poetic,poetic,0.016713091922005652
proactive,proactive,0.01643835616438355
spelunker,spelunker,0.015761821366024553
creative,creative,0.01473684210526316
gregarious,gregarious,0.014534883720930258
open to new experinces,open to new experinces,0.013803680981595123
wooden,wooden,0.011782032400589101
master,master,0.011419249592169667
freelance,freelance,0.010000000000000009
natural-talent,natural-talent,0.009999999999999898
explorer,explorer,0.0092592592592593
